primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,14675,7160,7515
North American Aboriginal origins,,,1050,450,605
North American Aboriginal origins,First Nations (North American Indian),,635,265,375
North American Aboriginal origins,Inuit,,45,15,35
North American Aboriginal origins,Métis,,395,185,210
Other North American origins,,,6420,3155,3270
Other North American origins,Acadian,,85,35,45
Other North American origins,American,,190,100,95
Other North American origins,Canadian,,6225,3050,3175
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,0,0
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,30,20,10
Other North American origins,Québécois,,10,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,10145,4940,5210
European origins,British Isles origins,,6505,3160,3355
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,3375,1725,1650
European origins,British Isles origins,Irish,3195,1450,1745
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,2715,1375,1340
European origins,British Isles origins,Welsh,220,120,100
European origins,British Isles origins,British Isles origins; n.i.e.,425,190,230
European origins,French origins,,4595,2180,2415
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,4590,2180,2410
European origins,Western European origins (except French origins),,1955,935,1020
European origins,Western European origins (except French origins),Austrian,60,45,15
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,70,30,40
European origins,Western European origins (except French origins),Dutch,470,220,250
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1440,700,740
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,50,20,30
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,375,195,175
European origins,Northern European origins (except British Isles origins),Danish,70,50,20
European origins,Northern European origins (except British Isles origins),Finnish,25,10,10
European origins,Northern European origins (except British Isles origins),Icelandic,65,30,35
European origins,Northern European origins (except British Isles origins),Norwegian,85,40,45
European origins,Northern European origins (except British Isles origins),Swedish,135,50,80
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,30,20,10
European origins,Eastern European origins,,990,500,490
European origins,Eastern European origins,Bulgarian,20,10,10
European origins,Eastern European origins,Byelorussian,0,0,10
European origins,Eastern European origins,Czech,20,10,10
European origins,Eastern European origins,Czechoslovakian; n.o.s.,0,10,0
European origins,Eastern European origins,Estonian,0,10,0
European origins,Eastern European origins,Hungarian,90,50,40
European origins,Eastern European origins,Latvian,0,0,0
European origins,Eastern European origins,Lithuanian,20,10,10
European origins,Eastern European origins,Moldovan,10,10,10
European origins,Eastern European origins,Polish,495,235,260
European origins,Eastern European origins,Romanian,30,20,10
European origins,Eastern European origins,Russian,135,65,70
European origins,Eastern European origins,Slovak,15,0,10
European origins,Eastern European origins,Ukrainian,305,160,145
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,1080,510,570
European origins,Southern European origins,Albanian,10,0,0
European origins,Southern European origins,Bosnian,0,0,0
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,20,15,10
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,70,45,25
European origins,Southern European origins,Italian,640,295,345
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,10,0,10
European origins,Southern European origins,Maltese,0,0,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,140,90,55
European origins,Southern European origins,Serbian,10,10,0
European origins,Southern European origins,Sicilian,10,0,0
European origins,Southern European origins,Slovenian,30,25,10
European origins,Southern European origins,Spanish,210,75,135
European origins,Southern European origins,Yugoslavian; n.o.s.,0,0,10
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,65,45,25
European origins,Other European origins,Basque,25,15,10
European origins,Other European origins,Jewish,30,25,10
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,0,0,0
European origins,Other European origins,Other European origins; n.i.e.,15,10,0
Caribbean origins,Other European origins,,580,290,290
Caribbean origins,Antiguan,,0,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,10,0,0
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,0,0,0
Caribbean origins,Cuban,,25,0,20
Caribbean origins,Dominican,,15,0,10
Caribbean origins,Grenadian,,0,0,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,290,145,140
Caribbean origins,Jamaican,,105,45,65
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,0,0,0
Caribbean origins,St. Lucian,,25,10,15
