primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,10880,5300,5575
North American Aboriginal origins,,,350,190,160
North American Aboriginal origins,First Nations (North American Indian),,265,145,120
North American Aboriginal origins,Inuit,,10,0,0
North American Aboriginal origins,Métis,,100,50,50
Other North American origins,,,3245,1545,1700
Other North American origins,Acadian,,50,15,30
Other North American origins,American,,150,75,80
Other North American origins,Canadian,,3140,1490,1645
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,20,10,15
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,10,0,0
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,8455,4130,4330
European origins,British Isles origins,,5880,2835,3040
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,2870,1340,1530
European origins,British Isles origins,Irish,2860,1285,1575
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,2520,1225,1295
European origins,British Isles origins,Welsh,285,120,165
European origins,British Isles origins,British Isles origins; n.i.e.,610,290,320
European origins,French origins,,2240,1045,1195
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,2240,1045,1195
European origins,Western European origins (except French origins),,1480,765,710
European origins,Western European origins (except French origins),Austrian,70,45,25
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,45,15,30
European origins,Western European origins (except French origins),Dutch,410,240,175
European origins,Western European origins (except French origins),Flemish,0,0,0
European origins,Western European origins (except French origins),Frisian,0,10,0
European origins,Western European origins (except French origins),German,1055,540,515
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,30,0,20
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,290,140,150
European origins,Northern European origins (except British Isles origins),Danish,65,40,25
European origins,Northern European origins (except British Isles origins),Finnish,20,10,15
