primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,18820,9310,9515
North American Aboriginal origins,,,975,525,445
North American Aboriginal origins,First Nations (North American Indian),,695,375,320
North American Aboriginal origins,Inuit,,0,0,0
North American Aboriginal origins,Métis,,290,160,130
Other North American origins,,,6645,3395,3250
Other North American origins,Acadian,,50,25,25
Other North American origins,American,,315,160,155
Other North American origins,Canadian,,6430,3295,3130
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,0,10,0
Other North American origins,Nova Scotian,,15,15,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,10,0,15
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,13750,6805,6945
European origins,British Isles origins,,10250,5060,5185
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,0,0,0
European origins,British Isles origins,English,5385,2675,2710
European origins,British Isles origins,Irish,5370,2500,2870
European origins,British Isles origins,Manx,10,0,10
European origins,British Isles origins,Scottish,4420,2135,2290
European origins,British Isles origins,Welsh,390,200,190
European origins,British Isles origins,British Isles origins; n.i.e.,890,420,470
European origins,French origins,,4020,2025,1995
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,4015,2025,1995
European origins,Western European origins (except French origins),,2885,1415,1470
European origins,Western European origins (except French origins),Austrian,150,90,60
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,95,40,55
European origins,Western European origins (except French origins),Dutch,685,325,365
European origins,Western European origins (except French origins),Flemish,20,15,10
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1990,975,1015
European origins,Western European origins (except French origins),Luxembourger,0,0,0
European origins,Western European origins (except French origins),Swiss,120,65,55
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,650,320,330
European origins,Northern European origins (except British Isles origins),Danish,110,65,45
European origins,Northern European origins (except British Isles origins),Finnish,110,55,55
European origins,Northern European origins (except British Isles origins),Icelandic,35,15,20
European origins,Northern European origins (except British Isles origins),Norwegian,160,75,90
European origins,Northern European origins (except British Isles origins),Swedish,255,135,120
European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,65,20,35
European origins,Eastern European origins,,1710,850,855
European origins,Eastern European origins,Bulgarian,40,20,20
European origins,Eastern European origins,Byelorussian,10,0,0
European origins,Eastern European origins,Czech,85,60,30
European origins,Eastern European origins,Czechoslovakian; n.o.s.,20,10,10
European origins,Eastern European origins,Estonian,10,10,0
European origins,Eastern European origins,Hungarian,190,90,95
European origins,Eastern European origins,Latvian,30,10,25
European origins,Eastern European origins,Lithuanian,30,15,10
European origins,Eastern European origins,Moldovan,0,0,0
European origins,Eastern European origins,Polish,640,340,300
European origins,Eastern European origins,Romanian,70,40,30
European origins,Eastern European origins,Russian,210,85,125
European origins,Eastern European origins,Slovak,105,25,85
European origins,Eastern European origins,Ukrainian,630,325,310
European origins,Eastern European origins,Eastern European origins; n.i.e.,0,0,0
European origins,Southern European origins,,1525,775,750
European origins,Southern European origins,Albanian,25,10,10
European origins,Southern European origins,Bosnian,70,40,25
European origins,Southern European origins,Catalan,0,0,0
European origins,Southern European origins,Croatian,40,20,25
European origins,Southern European origins,Cypriot,0,0,0
European origins,Southern European origins,Greek,110,55,55
European origins,Southern European origins,Italian,865,455,410
European origins,Southern European origins,Kosovar,0,0,0
European origins,Southern European origins,Macedonian,10,10,0
European origins,Southern European origins,Maltese,15,15,0
European origins,Southern European origins,Montenegrin,0,0,0
European origins,Southern European origins,Portuguese,95,55,45
European origins,Southern European origins,Serbian,25,15,15
European origins,Southern European origins,Sicilian,0,0,0
European origins,Southern European origins,Slovenian,35,20,20
European origins,Southern European origins,Spanish,275,100,180
European origins,Southern European origins,Yugoslavian; n.o.s.,25,10,10
European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
European origins,Other European origins,,135,85,55
European origins,Other European origins,Basque,20,10,10
European origins,Other European origins,Jewish,50,30,20
European origins,Other European origins,Roma (Gypsy),0,0,0
European origins,Other European origins,Slavic; n.o.s.,10,10,10
European origins,Other European origins,Other European origins; n.i.e.,50,30,15
Caribbean origins,Other European origins,,275,125,155
Caribbean origins,Antiguan,,10,0,0
Caribbean origins,Bahamian,,0,0,0
Caribbean origins,Barbadian,,0,0,10
Caribbean origins,Bermudan,,0,0,0
Caribbean origins,Carib,,0,0,0
Caribbean origins,Cuban,,30,15,20
Caribbean origins,Dominican,,0,0,0
Caribbean origins,Grenadian,,0,0,0
Caribbean origins,Guadeloupean,,0,0,0
Caribbean origins,Haitian,,55,30,25
Caribbean origins,Jamaican,,100,45,50
Caribbean origins,Kittitian/Nevisian,,0,0,0
Caribbean origins,Martinican,,0,0,0
Caribbean origins,Montserratan,,0,0,0
Caribbean origins,Puerto Rican,,0,0,0
Caribbean origins,St. Lucian,,0,0,0
Caribbean origins,Trinidadian/Tobagonian,,20,10,10
Caribbean origins,Vincentian/Grenadinian,,0,0,0
Caribbean origins,West Indian; n.o.s.,,40,20,25
Caribbean origins,Caribbean origins; n.i.e.,,15,10,10
Latin; Central and South American origins,,,300,120,180
Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,10,10,10
Latin; Central and South American origins,Arawak,,0,0,0
Latin; Central and South American origins,Argentinian,,30,15,15
Latin; Central and South American origins,Belizean,,0,0,0
