primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
total estimated ethnic,,,16745,8125,8625
North American Aboriginal origins,,,820,355,465
North American Aboriginal origins,First Nations (North American Indian),,665,305,360
North American Aboriginal origins,Inuit,,10,0,10
North American Aboriginal origins,Métis,,170,65,110
Other North American origins,,,5470,2605,2860
Other North American origins,Acadian,,35,20,15
Other North American origins,American,,180,80,100
Other North American origins,Canadian,,5335,2550,2785
Other North American origins,New Brunswicker,,0,0,0
Other North American origins,Newfoundlander,,30,10,20
Other North American origins,Nova Scotian,,0,0,0
Other North American origins,Ontarian,,0,0,0
Other North American origins,Québécois,,20,10,10
Other North American origins,Other North American origins; n.i.e.,,0,0,0
European origins,,,10265,4930,5340
European origins,British Isles origins,,6575,3200,3380
European origins,British Isles origins,Channel Islander,0,0,0
European origins,British Isles origins,Cornish,10,0,10
European origins,British Isles origins,English,3310,1620,1685
European origins,British Isles origins,Irish,3235,1560,1675
European origins,British Isles origins,Manx,0,0,0
European origins,British Isles origins,Scottish,2815,1375,1435
European origins,British Isles origins,Welsh,325,180,145
European origins,British Isles origins,British Isles origins; n.i.e.,460,215,245
European origins,French origins,,4095,1900,2200
European origins,French origins,Alsatian,0,0,0
European origins,French origins,Breton,0,0,0
European origins,French origins,Corsican,0,0,0
European origins,French origins,French,4090,1895,2195
European origins,Western European origins (except French origins),,1830,815,1015
European origins,Western European origins (except French origins),Austrian,75,35,40
European origins,Western European origins (except French origins),Bavarian,0,0,0
European origins,Western European origins (except French origins),Belgian,75,40,35
European origins,Western European origins (except French origins),Dutch,520,250,270
European origins,Western European origins (except French origins),Flemish,10,0,10
European origins,Western European origins (except French origins),Frisian,0,0,0
European origins,Western European origins (except French origins),German,1195,540,660
European origins,Western European origins (except French origins),Luxembourger,0,0,10
European origins,Western European origins (except French origins),Swiss,95,15,80
European origins,Western European origins (except French origins),Western European origins; n.i.e.,0,0,0
European origins,Northern European origins (except British Isles origins),,400,185,220
European origins,Northern European origins (except British Isles origins),Danish,115,50,65
European origins,Northern European origins (except British Isles origins),Finnish,60,25,35
European origins,Northern European origins (except British Isles origins),Icelandic,20,10,0
European origins,Northern European origins (except British Isles origins),Norwegian,95,45,45
European origins,Northern European origins (except British Isles origins),Swedish,130,60,70
